45
40
out/foret.png
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,1026,1025,
965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,966,965,
